city,neighbourhood,street,Area,Number of rooms,Floor,No. of floors,Building type,Heating system,Equipment,Building Energy Efficiency Class,Additional premises,Additional Equipment,Security,Nearest kindergarten,Nearest educational institution,Nearest shop,Public transport stop,crime,Price,Percent_Decrease,build_year,renovation_year,is_renovated,is_price_decreased,STREET,AVG_BIRTH_YEAR,TOTAL_CHILDREN,TOTAL_PEOPLE,TOTAL_DIVORCED,TOTAL_WIDOWED,TOTAL_MARRIED,TOTAL_SINGLE
Vilnius,Santariškės,Dangeručio g.,65.01,3,3,4,Brick,"Electric, aerothermal",Fully equipped,A++,Balcony,Conditioner Plastic pipes Bath Recuperation,Steel doors Code door lock,1600.0,3400.0,220.0,590.0,0,199000,,2022,2022.0,0,0,,,,,,,,
Vilnius,Antakalnis,Antakalnio g.,83.3,3,1,3,Brick,Central,Partially equipped,A++,Storeroom Balcony Terrace Parking space Closet,,Steel doors Code door lock Video surveillance,420.0,180.0,590.0,20.0,5,366520,,2025,2025.0,0,0,Antakalnio g.,1975.7874720357943,1212.0,4470.0,623.0,406.0,1601.0,1840.0
Vilnius,Lazdynėliai,Lietaus g.,30.65,1,4,4,Brick,Central thermostat,Partially equipped,A+,Balcony,Recuperation,Code door lock,400.0,1500.0,210.0,160.0,0,100400,,2023,2023.0,0,0,,,,,,,,
Vilnius,Bajorai,Bajorų kel.,43.05,2,3,5,Brick,Central thermostat,Partially equipped,A+,Terrace Parking space,Floor heating system,Steel doors Code door lock,170.0,1400.0,230.0,160.0,0,117000,,2023,2023.0,0,0,,,,,,,,
Vilnius,Lazdynėliai,Lazdynėlių g.,63.02,4,2,4,Brick,Central thermostat,Partially equipped,,,,,550.0,1400.0,220.0,170.0,0,176000,"3,3%",2022,2022.0,0,1,,,,,,,,
Vilnius,Pilaitė,M. Mažvydo g.,46.52,2,3,8,Block house,Central thermostat,Partially equipped,,,,,380.0,510.0,330.0,140.0,7,121000,,2024,2024.0,0,0,M. Mažvydo g.,1990.3647887323943,1060.0,2130.0,162.0,47.0,923.0,998.0
Vilnius,Pašilaičiai,Perkūnkiemio g.,67.0,3,8,12,Block house,Central thermostat,Fully equipped,,Storeroom Parking space,Washing machine Furniture Refrigerator Kitchen furniture Stove Bath,Steel doors Code door lock,260.0,950.0,200.0,220.0,"37,52 €/month
~ 0,56 €/m²",163000,,2008,2008.0,0,0,Perkūnkiemio g.,1992.8348851644942,2901.0,4833.0,392.0,69.0,1912.0,2460.0
Vilnius,Naujamiestis,Naugarduko g.,30.0,2,3,4,Brick,Central thermostat,Fully equipped,A+,,Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower,Steel doors,270.0,370.0,200.0,20.0,13,108000,,1976,2024.0,1,0,Naugarduko g.,1979.357006673022,584.0,2098.0,317.0,133.0,722.0,926.0
Vilnius,Šnipiškės,Linkmenų g.,57.82,3,2,7,Brick,Central thermostat,Partially equipped,A++,Parking space,,Steel doors Code door lock,540.0,140.0,610.0,60.0,15,237100,,2024,2024.0,0,0,Linkmenų g.,1992.6837782340863,756.0,1948.0,78.0,27.0,818.0,1025.0
Vilnius,Naujamiestis,Vytenio g.,30.0,1,1,5,Brick,Central thermostat,Partially equipped,,Storeroom Terrace,Floor heating system,Steel doors Code door lock Video surveillance,90.0,210.0,310.0,270.0,14,119900,,2024,2024.0,0,0,Vytenio g.,1983.473136193253,542.0,2401.0,173.0,76.0,666.0,1486.0
Vilnius,Bajorai,Mokslininkų g.,49.39,2,2,5,Brick,Central thermostat,Partially equipped,,Terrace,,Steel doors Code door lock Video surveillance,160.0,1300.0,130.0,110.0,1,155085,,2024,2024.0,0,0,,,,,,,,
Vilnius,Antakalnis,Žolyno g.,25.53,1,4,5,Brick,Central,Fully equipped,,Closet,Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower Recuperation,Steel doors Code door lock,390.0,560.0,260.0,100.0,"24,51 €/month
~ 0,96 €/m²",59855,"1,5%",1976,1976.0,0,1,Žolyno g.,1981.2652671755725,351.0,1048.0,134.0,56.0,345.0,513.0
Vilnius,Lazdynėliai,Lazdynėlių g.,22.97,1,2,4,Brick,Central thermostat,Partially equipped,A+,Balcony Parking space,Floor heating system Plastic pipes,Steel doors Code door lock,320.0,1600.0,300.0,290.0,0,78600,"3,7%",2022,2022.0,0,1,,,,,,,,
Vilnius,Šnipiškės,Kalvarijų g.,53.5,3,3,7,Brick,Central thermostat,Partially equipped,A++,Storeroom Balcony Parking space,Conditioner Floor heating system Recuperation,Steel doors Code door lock Video surveillance,120.0,390.0,40.0,90.0,18,219350,,2024,2024.0,0,0,Kalvarijų g.,1976.0398847437064,1816.0,6594.0,924.0,626.0,2480.0,2564.0
Vilnius,Šiaurės miestelis,Kareivių g.,70.66,3,2,8,Other,Central thermostat,Partially equipped,,,,Steel doors Code door lock Video surveillance,250.0,290.0,270.0,150.0,8,210390,,2024,2024.0,0,0,,,,,,,,
Vilnius,Justiniškės,Talino g.,50.12,3,4,6,Brick,Central thermostat,Partially equipped,,Balcony,,Steel doors Code door lock Video surveillance,290.0,190.0,340.0,280.0,6,136400,,2023,2023.0,0,0,Talino g.,1989.4561403508771,152.0,285.0,25.0,10.0,109.0,141.0
Vilnius,Bajorai,Bajorų kel.,57.15,3,1,7,Block house,Central thermostat,Partially equipped,A++,Terrace,,Steel doors Code door lock Video surveillance,330.0,1500.0,430.0,150.0,0,156700,,2024,2024.0,0,0,,,,,,,,
Vilnius,Viršuliškės,Viršilų g.,51.17,3,13,20,Block house,Central thermostat,Partially equipped,A+,Balcony,,Steel doors Code door lock,380.0,280.0,680.0,190.0,12,183700,,2024,2024.0,0,0,Viršilų g.,1989.967741935484,233.0,434.0,46.0,10.0,168.0,210.0
Vilnius,Pilaitė,Karaliaučiaus g.,54.77,3,2,4,Block house,Central thermostat,Partially equipped,A++,Balcony,Floor heating system,Steel doors Code door lock,650.0,650.0,620.0,410.0,4,150000,,2024,2024.0,0,0,Karaliaučiaus g.,1986.1510349288487,1231.0,3092.0,345.0,119.0,1173.0,1455.0
Vilnius,Pašilaičiai,Grigalaukio g.,41.66,2,5,9,Brick,Central thermostat,Fully equipped,A++,Balcony,Conditioner Plastic pipes Bath Recuperation,Steel doors Code door lock,500.0,510.0,260.0,290.0,11,137083,,2024,2024.0,0,0,Grigalaukio g.,1992.2325581395348,295.0,645.0,51.0,14.0,252.0,328.0
Vilnius,Pašilaičiai,Grigalaukio g.,25.48,1,3,9,Brick,Central thermostat,Fully equipped,A++,Balcony,Conditioner Shower Recuperation,Steel doors Code door lock,500.0,510.0,260.0,290.0,11,91000,,2024,2024.0,0,0,Grigalaukio g.,1992.2325581395348,295.0,645.0,51.0,14.0,252.0,328.0
Vilnius,Pašilaičiai,Grigalaukio g.,80.62,4,2,9,Brick,Central thermostat,Fully equipped,A++,Balcony,Conditioner Plastic pipes Shower Bath Recuperation,Steel doors Code door lock,500.0,510.0,260.0,290.0,11,228000,,2024,2024.0,0,0,Grigalaukio g.,1992.2325581395348,295.0,645.0,51.0,14.0,252.0,328.0
Vilnius,Naujamiestis,Panerių g.,46.2,3,1,2,Brick,Geothermal,Partially equipped,A++,Terrace,,,570.0,390.0,350.0,280.0,31,198198,,2023,2023.0,0,0,Panerių g.,1984.8723958333333,100.0,384.0,39.0,23.0,115.0,207.0
Vilnius,Žirmūnai,Tuskulėnų g.,75.17,3,1,4,Brick,Central thermostat,Partially equipped,A+,Terrace Parking space,,Steel doors Code door lock,230.0,250.0,140.0,50.0,22,262000,,2022,2022.0,0,0,Tuskulėnų g.,1975.248310442555,1305.0,4587.0,547.0,459.0,1797.0,1784.0
Vilnius,Žirmūnai,Tuskulėnų g.,43.36,2,1,4,Brick,Central thermostat,Partially equipped,A+,Terrace Parking space,,Steel doors Code door lock,230.0,250.0,140.0,50.0,22,175600,,2022,2022.0,0,0,Tuskulėnų g.,1975.248310442555,1305.0,4587.0,547.0,459.0,1797.0,1784.0
Vilnius,Šnipiškės,Krokuvos g.,42.26,3,2,4,Brick,Central,Fully equipped,B,Storeroom Balcony Terrace Parking space Closet,Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower,Steel doors Code door lock,70.0,350.0,230.0,270.0,"76,91 €/month
~ 1,82 €/m²",157000,,1968,1968.0,0,0,Krokuvos g.,1978.2436500470367,286.0,1063.0,132.0,67.0,391.0,473.0
