city;neighbourhood;street;price;House No.;Flat No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Building Energy Efficiency Class;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Object;Unique item number (RC number)
Vilnius;Santariškės;Dangeručio g.;199 000 € (3 061 €/m²);25;9;65,01 m²;3;3;4;2022;Brick;Electric, aerothermal;Fully equipped;A++;High ceiling New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony;Conditioner Plastic pipes Bath Recuperation;Steel doors Code door lock;1,6 km;3,4 km;220 m;590 m;0;;
Vilnius;Antakalnis;Antakalnio g.;366 520 € (4 400 €/m²);14;1;83,3 m²;3;1;3;2025;Brick;Central;Partially equipped;A++;Private entrance High ceiling Two-floor flat;Storeroom Balcony Terrace Parking space Closet;;Steel doors Code door lock Video surveillance;420 m;180 m;590 m;20 m;5;;
Vilnius;Lazdynėliai;Lietaus g.;100 400 € (3 276 €/m²);7;4-5;30,65 m²;1;4;4;2023;Brick;Central thermostat;Partially equipped;A+;New sewage system New electrical installation Private yard;Balcony;Recuperation;Code door lock;400 m;1,5 km;210 m;160 m;0;;
Vilnius;Žvėrynas;Elnių g.;618 500 € (5 093 €/m²);18;4;121,44 m²;4;1;3;2023;Brick;Central thermostat;Partially equipped;A+;Private entrance High ceiling Two-floor flat Separate bathroom and WC New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony Terrace Parking space Closet;Conditioner Floor heating system Plastic pipes Recuperation;Steel doors Alarm system Code door lock Video surveillance;130 m;430 m;280 m;240 m;3;;
Vilnius;Bajorai;Bajorų kel.;117 000 € (2 718 €/m²);8;;43,05 m²;2;3;5;2023;Brick;Central thermostat;Partially equipped;A+;New sewage system Private yard Internet Kitchen merged with room;Terrace Parking space;Floor heating system;Steel doors Code door lock;170 m;1,4 km;230 m;160 m;0;;
Vilnius;Lazdynėliai;Lazdynėlių g.;"Price decreased 3,3%
176 000 € (2 793 €/m²)";16D;30;63,02 m²;4;2;4;2022;Brick;Central thermostat;Partially equipped;;;;;;550 m;1,4 km;220 m;170 m;0;;
Vilnius;Pilaitė;M. Mažvydo g.;121 000 € (2 601 €/m²);28;16;46,52 m²;2;3;8;2024;Block house;Central thermostat;Partially equipped;;;;;;380 m;510 m;330 m;140 m;7;;
Vilnius;Pašilaičiai;Perkūnkiemio g.;163 000 € (2 433 €/m²);53;;67 m²;3;8;12;2008;Block house;Central thermostat;Fully equipped;;Separate bathroom and WC Internet Cable television Kitchen merged with room;Storeroom Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;260 m;950 m;200 m;220 m;"37,52 €/month
~ 0,56 €/m²";;
Vilnius;Naujamiestis;Naugarduko g.;108 000 € (3 600 €/m²);41;;30 m²;2;3;4;1976 construction, 2024 renovation;Brick;Central thermostat;Fully equipped;A+;Has elevator High ceiling Two-floor flat New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower;Steel doors;270 m;370 m;200 m;20 m;13;;
Vilnius;Šnipiškės;Linkmenų g.;237 100 € (4 101 €/m²);4;;57,82 m²;3;2;7;2024;Brick;Central thermostat;Partially equipped;A++;Private yard Kitchen merged with room;Parking space;;Steel doors Code door lock;540 m;140 m;610 m;60 m;15;;
Vilnius;Naujamiestis;Vytenio g.;119 900 € (3 997 €/m²);15;;30 m²;1;1;5;2024;Brick;Central thermostat;Partially equipped;;New sewage system New electrical installation Private yard Internet Cable television;Storeroom Terrace;Floor heating system;Steel doors Code door lock Video surveillance;90 m;210 m;310 m;270 m;14;;
Vilnius;Bajorai;Mokslininkų g.;155 085 € (3 140 €/m²);11B;;49,39 m²;2;2;5;2024;Brick;Central thermostat;Partially equipped;;New electrical installation Private yard;Terrace;;Steel doors Code door lock Video surveillance;160 m;1,3 km;130 m;110 m;1;;
Vilnius;Antakalnis;Žolyno g.;"Price decreased 1,5%
59 855 € (2 344 €/m²)";;;25,53 m²;1;4;5;1976;Brick;Central;Fully equipped;;Private entrance New sewage system New electrical installation Internet Cable television;Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower Recuperation;Steel doors Code door lock;390 m;560 m;260 m;100 m;"24,51 €/month
~ 0,96 €/m²";;
Vilnius;Lazdynėliai;Lazdynėlių g.;"Price increased 3,7%
78 600 € (3 422 €/m²)";57;;22,97 m²;1;2;4;2022;Brick;Central thermostat;Partially equipped;A+;New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony Parking space;Floor heating system Plastic pipes;Steel doors Code door lock;320 m;1,6 km;300 m;290 m;0;;
Vilnius;Šnipiškės;Kalvarijų g.;219 350 € (4 100 €/m²);55;B3-2;53,5 m²;3;3;7;2024;Brick;Central thermostat;Partially equipped;A++;New electrical installation Private yard Kitchen merged with room;Storeroom Balcony Parking space;Conditioner Floor heating system Recuperation;Steel doors Code door lock Video surveillance;120 m;390 m;40 m;90 m;18;;
Vilnius;Šiaurės miestelis;Kareivių g.;210 390 € (2 977 €/m²);5;2-13;70,66 m²;3;2;8;2024;Other;Central thermostat;Partially equipped;;New sewage system New electrical installation;;;Steel doors Code door lock Video surveillance;250 m;290 m;270 m;150 m;8;;
Vilnius;Justiniškės;Talino g.;136 400 € (2 721 €/m²);;;50,12 m²;3;4;6;2023;Brick;Central thermostat;Partially equipped;;New electrical installation Internet;Balcony;;Steel doors Code door lock Video surveillance;290 m;190 m;340 m;280 m;6;;
Vilnius;Bajorai;Bajorų kel.;156 700 € (2 742 €/m²);29;7;57,15 m²;3;1;7;2024;Block house;Central thermostat;Partially equipped;A++;New sewage system New electrical installation;Terrace;;Steel doors Code door lock Video surveillance;330 m;1,5 km;430 m;150 m;0;;
Vilnius;Viršuliškės;Viršilų g.;183 700 € (3 590 €/m²);6;3;51,17 m²;3;13;20;2024;Block house;Central thermostat;Partially equipped;A+;New sewage system New electrical installation;Balcony;;Steel doors Code door lock;380 m;280 m;680 m;190 m;12;;
Vilnius;Pilaitė;Karaliaučiaus g.;150 000 € (2 739 €/m²);29;12;54,77 m²;3;2;4;2024;Block house;Central thermostat;Partially equipped;A++;New sewage system New electrical installation;Balcony;Floor heating system;Steel doors Code door lock;650 m;650 m;620 m;410 m;4;;
Vilnius;Pašilaičiai;Grigalaukio g.;137 083 € (3 291 €/m²);15;89;41,66 m²;2;5;9;2024;Brick;Central thermostat;Fully equipped;A++;New sewage system New electrical installation Kitchen merged with room;Balcony;Conditioner Plastic pipes Bath Recuperation;Steel doors Code door lock;500 m;510 m;260 m;290 m;11;;
Vilnius;Pašilaičiai;Grigalaukio g.;91 000 € (3 571 €/m²);15;79;25,48 m²;1;3;9;2024;Brick;Central thermostat;Fully equipped;A++;Has elevator New sewage system New electrical installation Kitchen merged with room;Balcony;Conditioner Shower Recuperation;Steel doors Code door lock;500 m;510 m;260 m;290 m;11;;
Vilnius;Pašilaičiai;Grigalaukio g.;228 000 € (2 828 €/m²);15;74;80,62 m²;4;2;9;2024;Brick;Central thermostat;Fully equipped;A++;Has elevator Separate bathroom and WC New sewage system New electrical installation Kitchen merged with room;Balcony;Conditioner Plastic pipes Shower Bath Recuperation;Steel doors Code door lock;500 m;510 m;260 m;290 m;11;;
Vilnius;Naujamiestis;Panerių g.;198 198 € (4 290 €/m²);12;102B;46,2 m²;3;1;2;2023;Brick;Geothermal;Partially equipped;A++;Private entrance Two-floor flat;Terrace;;;570 m;390 m;350 m;280 m;31;;
Vilnius;Žirmūnai;Tuskulėnų g.;262 000 € (3 485 €/m²);3A;;75,17 m²;3;1;4;2022;Brick;Central thermostat;Partially equipped;A+;Two-floor flat;Terrace Parking space;;Steel doors Code door lock;230 m;250 m;140 m;50 m;22;;
Vilnius;Žirmūnai;Tuskulėnų g.;175 600 € (4 050 €/m²);3A;;43,36 m²;2;1;4;2022;Brick;Central thermostat;Partially equipped;A+;Two-floor flat;Terrace Parking space;;Steel doors Code door lock;230 m;250 m;140 m;50 m;22;;
Vilnius;Šnipiškės;Krokuvos g.;157 000 € (3 715 €/m²);7A;;42,26 m²;3;2;4;1968;Brick;Central;Fully equipped;B;New sewage system New electrical installation Private yard Kitchen merged with room;Storeroom Balcony Terrace Parking space Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower;Steel doors Code door lock;70 m;350 m;230 m;270 m;"76,91 €/month
~ 1,82 €/m²";;
Vilnius;Viršuliškės;Viršuliškių skg.;121 260 € (2 880 €/m²);8;;42,11 m²;2;2;18;2026;Brick;Central thermostat;Partially equipped;A++;High ceiling New sewage system New electrical installation Private yard Kitchen merged with room;Balcony Terrace;Floor heating system Recuperation;Steel doors Code door lock Video surveillance;410 m;380 m;570 m;300 m;"41,69 €/month
~ 0,99 €/m²";;
Vilnius;Žirmūnai;Tuskulėnų g.;160 400 € (4 250 €/m²);3A;;37,74 m²;2;3;4;2022;Brick;Central thermostat;Partially equipped;A+;Has elevator Two-floor flat New sewage system New electrical installation Internet Cable television Kitchen merged with room;Parking space;Conditioner Floor heating system Recuperation;Steel doors Code door lock;230 m;250 m;140 m;50 m;22;;
Vilnius;Šnipiškės;A. Juozapavičiaus g.;"Price decreased 0,8%
615 000 € (6 276 €/m²)";9A;;98 m²;3;2;5;2008;Brick;Central;Fully equipped;A+;Private entrance High ceiling New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Storeroom Balcony Terrace Parking space;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower Bath;Steel doors Code door lock Video surveillance Guard;80 m;180 m;270 m;290 m;21;;
Vilnius;Visoriai;Visorių g.;125 500 € (2 777 €/m²);27;13;45,2 m²;2;2;7;2025;Monolithic;Central thermostat;Partially equipped;A++;;Balcony;;Steel doors Code door lock Video surveillance;800 m;700 m;240 m;210 m;3;;
Vilnius;Lazdynėliai;Žaibo g.;234 000 € (3 661 €/m²);5;;63,91 m²;3;1;4;2023;Monolithic;Central thermostat;Fully equipped;;;;;;160 m;1,8 km;390 m;360 m;0;;
Vilnius;Žirmūnai;Kareivių g.;233 000 € (3 167 €/m²);19;;73,56 m²;3;14;16;2006;Monolithic;Central thermostat;Fully equipped;;Internet Cable television Kitchen merged with room;Closet;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower;Steel doors Code door lock;70 m;520 m;140 m;90 m;"47,81 €/month
~ 0,65 €/m²";;
Vilnius;Pilaitė;Pilkalnio g.;150 524 € (2 400 €/m²);7;;62,73 m²;3;2;4;2025;Brick;Gas;Partially equipped;A++;Private yard Kitchen merged with room;Balcony;Floor heating system;Steel doors Code door lock Video surveillance;770 m;850 m;100 m;200 m;0;;
Vilnius;Naujamiestis;Algirdo g.;149 506 € (5 900 €/m²);12;2-1;25,34 m²;1;2;5;2025;Brick;Central thermostat;Partially equipped;A++;;;;;100 m;100 m;190 m;240 m;28;;
Vilnius;Senamiestis;Pakalnės g.;"Price decreased 1,7%
294 000 € (3 384 €/m²)";;;86,88 m²;3;3;3;1992;Brick;Central, electric;Fully equipped;;;;;;320 m;180 m;250 m;120 m;7;;
Vilnius;Naujamiestis;Vytenio g.;120 000 € (4 894 €/m²);55;;24,52 m²;1;2;3;1960 construction, 2023 renovation;Brick;Central thermostat;Fully equipped;;High ceiling New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower;Steel doors Code door lock;300 m;200 m;250 m;130 m;"41,68 €/month
~ 1,70 €/m²";;
