city;neighbourhood;street;price;House No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Flat No.;Building Energy Efficiency Class
Vilnius;Antakalnis;Žirgo g.;310 000 € (2 967 €/m²);2;104,5 m²;3;3;20;2004;Brick;Central thermostat;Fully equipped;Separate bathroom and WC Internet Kitchen merged with room;Storeroom Balcony Terrace;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Shower Bath;Steel doors Code door lock;590 m;760 m;150 m;100 m;"118,09 €/month
~ 1,13 €/m²";;
Vilnius;Naujoji Vilnia;Genių g.;37 500 € (2 180 €/m²);13A;17,2 m²;1;2;5;2024;Brick;Central thermostat;Partially equipped;New sewage system New electrical installation Internet Cable television Kitchen merged with room;;Plastic pipes;Steel doors Code door lock Video surveillance;280 m;240 m;130 m;170 m;9;23a;
Vilnius;Antakalnis;Žolyno g.;"Price decreased 2,4%
124 000 € (2 952 €/m²)";4;42,01 m²;2;5;5;1962;Brick;Central;Fully equipped;New sewage system Internet Cable television Kitchen merged with room;Balcony Cellar;Furniture Refrigerator Kitchen furniture Stove Shower;Steel doors Code door lock;320 m;550 m;280 m;40 m;"57,55 €/month
~ 1,37 €/m²";;
Vilnius;Senamiestis;Raugyklos g.;557 600 € (6 975 €/m²);7;79,94 m²;4;1;3;2024;Brick;Aerothermal;Fully equipped;Private entrance High ceiling Two-floor flat Separate bathroom and WC New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony Terrace Parking space Attic Closet;Floor heating system Plastic pipes Recuperation;Alarm system Code door lock;180 m;200 m;70 m;160 m;42;;A
Vilnius;Vilkpėdė;Vilkpėdės g.;169 000 € (2 914 €/m²);;58 m²;2;2;6;2009;Brick;Central thermostat;Fully equipped;Separate bathroom and WC New electrical installation Private yard Internet Kitchen merged with room;Balcony Closet;Washing machine Furniture Refrigerator Kitchen furniture Dish washer Bath;Steel doors Code door lock;550 m;510 m;220 m;270 m;"34,22 €/month
~ 0,59 €/m²";;
Vilnius;Naujamiestis;Šaltinių g.;91 899 € (3 535 €/m²);11;26 m²;1;0;4;1940 construction, 1993 renovation;Brick;Central;Fully equipped;New electrical installation Kitchen merged with room;Storeroom;Plastic pipes Shower;Steel doors;310 m;70 m;250 m;240 m;34;;
Vilnius;Markučiai;Subačiaus g.;"Price decreased 3,1%
95 000 € (2 397 €/m²)";116;39,64 m²;2;6;12;1977;Brick;Central;Fully equipped;Separate bathroom and WC Internet Cable television;Balcony Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Shower;Steel doors Code door lock;110 m;790 m;40 m;40 m;"58,27 €/month
~ 1,47 €/m²";;
Vilnius;Pilaitė;Šarkuvos g.;199 000 € (2 757 €/m²);;72,19 m²;3;2;3;2020;Brick;Aerothermal;Fully equipped;Internet Cable television;Cellar Closet;Furniture Conditioner Washing machine Bath;Steel doors Code door lock;1,3 km;1,3 km;980 m;450 m;0;;
Vilnius;Naujamiestis;Birželio 23-iosios g.;235 000 € (2 938 €/m²);15;80 m²;2;4;7;2008;Brick;Central thermostat;Fully equipped;Private yard Internet Cable television Kitchen merged with room;Balcony;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Bath;;200 m;340 m;330 m;380 m;26;;
Vilnius;Žirmūnai;Žirmūnų g.;88 000 € (2 378 €/m²);125;37 m²;1;6;12;1977;Brick;Central;Fully equipped;;Balcony Cellar Parking space Closet;;Code door lock;170 m;200 m;140 m;340 m;4;;
