city;neighbourhood;street;price;House No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Building Energy Efficiency Class;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Object;Flat No.
Vilnius;Burbiškės;Burbiškių g.;194 000 € (4 850 €/m²);6B;40 m²;2;2;4;2022;Brick;Central thermostat;Fully equipped;A+;New sewage system New electrical installation Private yard Kitchen merged with room;Storeroom Terrace Parking space Closet;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Bath Recuperation;Steel doors Code door lock Video surveillance;680 m;600 m;750 m;930 m;1;;
Vilnius;Markučiai;Manufaktūrų g.;198 000 € (5 503 €/m²);7;35,98 m²;2;5;6;2023;Brick;Central thermostat;Fully equipped;;;;;;290 m;610 m;130 m;310 m;4;;
Vilnius;Baltupiai;Kalvarijų g.;124 000 € (2 696 €/m²);270;46 m²;1;1;16;2006;Brick;Central thermostat;Fully equipped;;;;;;410 m;370 m;590 m;110 m;"35,88 €/month
~ 0,78 €/m²";;
Vilnius;Užupis;Polocko g.;485 000 € (3 496 €/m²);;138,73 m²;3;2;2;1940 construction, 2021 renovation;Brick;Gas;Fully equipped;;;;;;370 m;200 m;260 m;60 m;8;;
Vilnius;Senamiestis;Aguonų g.;409 000 € (7 502 €/m²);;54,52 m²;2;4;6;2019;Brick;Central thermostat;Fully equipped;;High ceiling Private yard;Storeroom Terrace Parking space;Conditioner Furniture Floor heating system Recuperation;Steel doors Code door lock;300 m;170 m;190 m;170 m;"20,72 €/month
~ 0,38 €/m²";;
Vilnius;Senamiestis;Aguonų g.;494 225 € (5 200 €/m²);;95,04 m²;4;1;2;2025;Brick;Central;Partially equipped;;;;;;310 m;80 m;290 m;270 m;34;Accommodation, recreation purpose;
Vilnius;Senamiestis;Aguonų g.;390 360 € (6 000 €/m²);;65,06 m²;3;1;2;2025;Brick;Central;Partially equipped;;;;;;310 m;80 m;290 m;270 m;34;;
Vilnius;Senamiestis;Aguonų g.;608 489 € (6 200 €/m²);;98,14 m²;4;1;2;2025;Brick;Central;Partially equipped;;Has elevator;;;;310 m;80 m;290 m;270 m;34;;
Vilnius;Antakalnis;Duburio g.;95 000 € (2 182 €/m²);;43,53 m²;2;2;4;2023;Brick;Gas;Partially equipped;A+;Kitchen merged with room;Balcony;;Steel doors Code door lock;1,6 km;1,7 km;1,4 km;410 m;0;;
Vilnius;Paupys;Paupio g.;750 000 € (3 462 €/m²);33;216,66 m²;5;1;2;1940;Brick;Electric, solid fuel, other;Fully equipped;;Private entrance High ceiling Two-floor flat Private yard Internet Cable television Kitchen merged with room;Terrace;Furniture Kitchen furniture Fireplace Bath;Steel doors;440 m;250 m;120 m;110 m;8;;
Vilnius;Senamiestis;Pylimo g.;319 000 € (4 691 €/m²);20;68 m²;3;3;3;1940;Brick;Gas;Fully equipped;;High ceiling New sewage system New electrical installation Kitchen merged with room;;Furniture Kitchen furniture Stove;Steel doors Alarm system Code door lock;180 m;90 m;260 m;40 m;29;;
