city;neighbourhood;street;price;House No.;Flat No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Building Energy Efficiency Class;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Unique item number (RC number);Object
Vilnius;Santariškės;Dangeručio g.;"Price increased 1,3%
155 000 € (2 702 €/m²)";13;7;57,36 m²;2;2;4;2024;Brick;Electric, aerothermal;Partially equipped;A++;High ceiling New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony;Conditioner Plastic pipes Recuperation;Steel doors;1,5 km;3,5 km;260 m;690 m;0;;
Vilnius;Antakalnis;Antakalnio g.;"Price decreased 1,5%
360 844 € (4 400 €/m²)";14;1;82,01 m²;3;1;3;2025;Brick;Central;Partially equipped;A++;Private entrance High ceiling Two-floor flat;Storeroom Balcony Terrace Parking space Closet;;Steel doors Code door lock Video surveillance;420 m;180 m;590 m;20 m;5;;
Vilnius;Lazdynėliai;Lietaus g.;177 951 € (3 868 €/m²);7;1-6;46,01 m²;2;1;4;2023;Brick;Central thermostat;Fully equipped;A+;New sewage system New electrical installation Private yard;Terrace Parking space;Plastic pipes Recuperation;;400 m;1,5 km;210 m;160 m;0;;
Vilnius;Žvėrynas;Elnių g.;618 500 € (5 093 €/m²);18;4;121,44 m²;4;1;3;2023;Brick;Central thermostat;Partially equipped;A+;Private entrance High ceiling Two-floor flat Separate bathroom and WC New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony Terrace Parking space Closet;Conditioner Floor heating system Plastic pipes Recuperation;Steel doors Alarm system Code door lock Video surveillance;130 m;430 m;280 m;240 m;5;;
Vilnius;Šnipiškės;Verkių g.;"Price decreased 4,7%
205 000 € (3 076 €/m²)";5A;55;66,64 m²;2;3;5;2003;Brick;Central;Fully equipped;A;Separate bathroom and WC Internet Kitchen merged with room;Balcony Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Bath;Code door lock;170 m;100 m;250 m;190 m;"43,32 €/month
~ 0,65 €/m²";1097-1012-6150;
Vilnius;Lazdynėliai;Lazdynėlių g.;78 600 € (3 422 €/m²);57;;22,97 m²;1;2;4;2022;Brick;Central thermostat;Partially equipped;A+;New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony Parking space;Floor heating system Plastic pipes;Steel doors Code door lock;320 m;1,6 km;300 m;290 m;0;;
Vilnius;Pilaitė;Karaliaučiaus g.;187 500 € (3 409 €/m²);29;;55 m²;3;2;4;2024;Brick;Central thermostat;Fully equipped;;;;;;630 m;630 m;680 m;420 m;5;;
Vilnius;Markučiai;Kaukysos g.;"Price decreased 2,4%
204 000 € (5 594 €/m²)";;;36,47 m²;2;4;6;2023;Monolithic;Central thermostat;Fully equipped;A+;New sewage system New electrical installation Private yard Internet Kitchen merged with room;Balcony Terrace;Conditioner Washing machine Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Recuperation;Steel doors Alarm system Code door lock Video surveillance;120 m;650 m;160 m;160 m;3;;
Vilnius;Justiniškės;Sidaronių g.;178 965 € (3 278 €/m²);37;2-06;54,59 m²;3;2;3;2024;Other;Central thermostat;Partially equipped;A++;New sewage system New electrical installation;Balcony;Recuperation;Video surveillance;660 m;720 m;740 m;80 m;0;;
Vilnius;Burbiškės;Burbiškių g.;225 190 € (3 191 €/m²);6;1-03;70,57 m²;3;1;4;2022;Brick;Gas;Partially equipped;A+;High ceiling New sewage system New electrical installation Private yard Kitchen merged with room;Terrace Parking space;;Steel doors Code door lock Video surveillance;720 m;640 m;740 m;960 m;1;;
Vilnius;Lazdynėliai;Žaibo g.;181 000 € (2 840 €/m²);7;;63,74 m²;3;1;4;2022;Brick;Central thermostat;Partially equipped;;;;;;140 m;1,8 km;390 m;360 m;"29,32 €/month
~ 0,46 €/m²";;
Vilnius;Šnipiškės;A. Juozapavičiaus g.;"Price decreased 0,8%
615 000 € (6 276 €/m²)";9A;;98 m²;3;2;5;2008;Brick;Central;Fully equipped;A+;Private entrance High ceiling New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Storeroom Balcony Terrace Parking space;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower Bath;Steel doors Code door lock Video surveillance Guard;80 m;180 m;270 m;290 m;21;;
Vilnius;Fabijoniškės;Vėtrungių g.;131 000 € (2 620 €/m²);83;;50 m²;2;12;12;2005;Brick;Central thermostat;Fully equipped;;Has elevator;;;;740 m;630 m;280 m;190 m;10;;
Vilnius;Justiniškės;Talino g.;76 800 € (2 949 €/m²);;;26,04 m²;1;2;6;2024;Brick;Central thermostat;Partially equipped;;New electrical installation Internet;Balcony;;Steel doors;290 m;190 m;340 m;280 m;6;;
Vilnius;Bajorai;Mokslininkų g.;155 085 € (3 140 €/m²);11B;;49,39 m²;2;2;5;2024;Brick;Central thermostat;Partially equipped;;New electrical installation Private yard;Terrace;;Steel doors Code door lock Video surveillance;160 m;1,3 km;130 m;110 m;1;;
Vilnius;Karoliniškės;Igno Šimulionio g.;185 000 € (3 786 €/m²);3;;48,86 m²;2;3;4;2015;Brick;Central thermostat;Fully equipped;B;High ceiling Private yard Internet Kitchen merged with room;Balcony Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower;Steel doors Code door lock;620 m;110 m;260 m;400 m;9;;
Vilnius;Senamiestis;Trakų g.;325 000 € (5 804 €/m²);;;56 m²;2;4;4;1960 construction, 2013 renovation;Brick;Aerothermal;Fully equipped;;;;;;80 m;110 m;150 m;90 m;"60,48 €/month
~ 1,08 €/m²";;
Vilnius;Kalnėnai;Baskų g.;158 900 € (2 701 €/m²);;;58,83 m²;3;1;2;2024;Brick;Other;Partially equipped;;Private entrance High ceiling Two-floor flat;Parking space;;;1,5 km;1,3 km;1,4 km;680 m;1;;
Vilnius;Viršuliškės;Viršuliškių skg.;121 260 € (2 880 €/m²);8;;42,11 m²;2;2;18;2026;Brick;Central thermostat;Partially equipped;A++;High ceiling New sewage system New electrical installation Private yard Kitchen merged with room;Balcony Terrace;Floor heating system Recuperation;Steel doors Code door lock Video surveillance;410 m;380 m;570 m;300 m;"41,69 €/month
~ 0,99 €/m²";;
Vilnius;Vilkpėdė;Savanorių pr.;"Price decreased 4,3%
219 999 € (1 947 €/m²)";;;113 m²;3;3;3;1970 construction, 2019 renovation;Block house;Aerothermal;Fully equipped;;High ceiling Two-floor flat New sewage system New electrical installation;Closet;Conditioner Furniture Recuperation;Code door lock;1,5 km;1,6 km;450 m;20 m;1;;
Vilnius;Pašilaičiai;Grigalaukio g.;91 000 € (3 571 €/m²);15;79;25,48 m²;1;3;9;2024;Brick;Central thermostat;Fully equipped;A++;Has elevator New sewage system New electrical installation Kitchen merged with room;Balcony;Conditioner Shower Recuperation;Steel doors Code door lock;500 m;510 m;260 m;290 m;11;;
Vilnius;Pašilaičiai;Grigalaukio g.;228 000 € (2 828 €/m²);15;74;80,62 m²;4;2;9;2024;Brick;Central thermostat;Fully equipped;A++;Has elevator Separate bathroom and WC New sewage system New electrical installation Kitchen merged with room;Balcony;Conditioner Plastic pipes Shower Bath Recuperation;Steel doors Code door lock;500 m;510 m;260 m;290 m;11;;
Vilnius;Pašilaičiai;Grigalaukio g.;137 083 € (3 291 €/m²);15;89;41,66 m²;2;5;9;2024;Brick;Central thermostat;Fully equipped;A++;New sewage system New electrical installation Kitchen merged with room;Balcony;Conditioner Plastic pipes Bath Recuperation;Steel doors Code door lock;500 m;510 m;260 m;290 m;11;;
Vilnius;Lazdynėliai;Žaibo g.;"Price decreased 2,1%
279 000 € (4 359 €/m²)";5;;64 m²;3;3;4;2022;Brick;Central thermostat;Fully equipped;A;Has elevator;Storeroom Balcony Parking space;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Bath Recuperation;Steel doors Code door lock Video surveillance;160 m;1,8 km;390 m;360 m;0;;
Vilnius;Šnipiškės;Kalvarijų g.;148 500 € (3 212 €/m²);99;;46,23 m²;3;3;5;1969;Block house;Central;Fully equipped;D;New sewage system New electrical installation Private yard Kitchen merged with room;Storeroom Balcony Terrace Parking space Closet;Furniture Refrigerator Kitchen furniture Plastic pipes Dish washer Shower;Steel doors Code door lock;110 m;160 m;110 m;80 m;13;;
Vilnius;Santariškės;Dangeručio g.;"Price increased 1,3%
155 000 € (2 702 €/m²)";13;7;57,36 m²;2;2;4;2024;Brick;Electric, aerothermal;Partially equipped;A++;High ceiling New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony;Conditioner Plastic pipes Recuperation;Steel doors;1,5 km;3,5 km;260 m;690 m;0;;
Vilnius;Antakalnis;Antakalnio g.;"Price decreased 1,5%
360 844 € (4 400 €/m²)";14;1;82,01 m²;3;1;3;2025;Brick;Central;Partially equipped;A++;Private entrance High ceiling Two-floor flat;Storeroom Balcony Terrace Parking space Closet;;Steel doors Code door lock Video surveillance;420 m;180 m;590 m;20 m;5;;
